,ID,ID_next,area,length,slope
0,71021602,-9999,113346611.19801593,22771.409331637286,0.001
1,71021604,71021602,20992570.88952981,3768.699406295294,0.001
2,71021606,71021604,29491342.55687833,7415.521219321775,0.001
3,71022109,71027799,48276760.51525809,9337.975402356462,0.001
4,71022120,71027921,143675236.19088933,15685.091921269126,0.001
5,71022121,71022120,157605866.88504282,24008.880809827984,0.001
6,71022126,71022121,44435491.33259003,16792.73065593846,0.001
7,71022127,71022126,895920.340635163,907.714695130833,0.001
8,71022129,71022127,33384343.20609045,7023.227688739272,0.001
9,71022131,71022129,18538910.097842913,5113.090591407804,0.001
10,71022133,71022131,38380594.63973315,5541.737572151599,0.001
11,71022134,71022133,24458097.80363421,5700.74098163099,0.001
12,71022138,71022134,67521149.24154417,9445.807756889297,0.001
13,71022141,71022138,60381613.292864494,16523.473415001106,0.001
14,71022145,71022141,6638774.040187832,2240.07395369311,0.001
15,71022146,71022145,6234136.214712657,3709.030075011619,0.001
16,71022150,71022146,78841354.65990397,21146.004073350643,0.001
17,71022153,71022150,41328822.06361807,9650.665555801184,0.001
18,71022160,71022153,135786701.09325793,30018.43340781647,0.001
19,71022164,71022160,11004651.874366757,4117.764752977562,0.001
20,71022165,71022164,1473209.0601995692,1382.912645323175,0.001
21,71022168,71022165,11729644.542647202,3820.904367210846,0.001
22,71022170,71022168,6800764.1574636055,2267.998078899959,0.001
23,71022198,71022170,78047732.28070684,31890.323166093673,0.001
24,71022209,71022198,11513646.84668933,7005.477400859661,0.001
25,71022220,71022209,39675477.10836414,10648.7347672181,0.001
26,71022225,71022220,5387770.797936809,3119.499812285028,0.001
27,71022242,71022225,49506662.61598983,12401.416783481143,0.001
28,71022248,71022242,3326963.396062574,1967.5181743790831,0.001
29,71022253,71022248,4859513.243640985,3197.32814435596,0.001
30,71022283,71027498,130862976.77122931,22052.94389592927,0.001
31,71022298,71022283,8215495.254449041,4005.4414532479914,0.001
32,71022302,71022170,15710171.661192726,10881.223463347347,0.001
33,71022305,71022302,1660420.162489682,1289.122676788475,0.001
34,71022365,71022305,40898547.24724506,19447.748287737195,0.001
35,71022407,71022302,22151651.449787878,12263.367008530655,0.001
36,71022409,71022253,221602657.8340116,45555.61247331747,0.001
37,71022414,71022298,102369324.79683208,27375.720251661052,0.001
38,71022426,71022160,35839673.295081295,15192.473048073914,0.001
39,71022435,71022305,40980774.356274314,6112.651786824234,0.001
40,71022444,71022165,69641424.21023259,10178.88335983022,0.001
41,71022453,71022283,54029717.93217446,4194.867277783882,0.001
42,71022454,71022198,25864424.318929236,8783.43314740521,0.001
43,71022635,71022168,16967613.888072126,8818.100472511214,0.001
44,71022639,71022635,1588060.611775274,2941.4625005350563,0.001
45,71022647,71022639,28330444.658040203,3746.649669583799,0.001
46,71022661,71022647,17005354.41436689,11398.821963345716,0.001
47,71022679,71022661,6218270.976748606,5253.767830765089,0.001
48,71022693,71022679,11300854.487559881,7663.53803706291,0.001
49,71022735,71022146,114408715.68471406,24884.406579296112,0.001
50,71022754,71022693,68214244.51979646,12146.797901294607,0.001
51,71022767,71022735,58568136.41032414,5913.596907048436,0.001
52,71022772,71022121,12592875.36367241,4473.1635493662225,0.001
53,71022780,71022754,6733632.180272047,4888.997647479669,0.001
54,71022825,71022767,34761237.111669466,10804.61455019499,0.001
55,71022872,71022772,78219664.77699426,17886.227347820906,0.001
56,71022902,71022825,58429764.46616404,12281.10395525459,0.001
57,71022911,71022780,94405523.62601744,22008.495427607864,0.001
