AH4_LAKE_ID,GRAND_ID,Hylak_id,GLWD_ID,CTR_LONWGS84,CTR_LATWGS84,WATERBODY_DAM_BRANCH,TYPE,AREA,EL_SPL,EL_LIM,EL_MIN,EL_ZERO,OPS_AMP,OPS_PHA,OPS_MEAN,SPL_COEFF,SPL_EXP,BR_FRAC,BR_MX_MAIN,BR_MN_MAIN,BR_MX_BR,BR_DEST_LONWGS84,BR_DEST_LATWGS84,SOURCE,SOURCE_ELEVS,SOURCE_OPS,SOURCE_SPILL,SOURCE_BRAN
103229,0,0,7785,71.140057,50.220623,none,Lake,11638076,386,385.999,385.998,375.6,0,0,0,1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108420,0,0,17833,-109.303908,57.86938,none,Lake,11636224,521,520.999,520.998,510.6,0,0,0,56.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106755,0,0,14720,-63.452336,57.85998,none,Lake,11636019,438,437.999,437.998,427.6,0,0,0,56.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
103803,0,0,9040,-79.202283,71.37468,none,Lake,11635932,156,155.999,155.998,145.6,0,0,0,58,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106738,0,0,14699,-75.652151,61.635529,none,Lake,11631987,243,242.999,242.998,232.6,0,0,0,58.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107244,0,0,15637,-105.76646,71.281113,none,Lake,11630740,65,64.999,64.998,54.6,0,0,0,57.6,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107705,0,0,16466,-96.641772,54.703041,none,Lake,11629432,201,200.999,200.998,190.6,0,0,0,57.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
103996,0,0,9437,-99.942326,64.205464,none,Lake,11629026,158,157.999,157.998,147.6,0,0,0,56.4,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105975,0,0,13235,-103.479863,59.887609,none,Lake,11628342,413,412.999,412.998,402.6,0,0,0,56.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
103587,0,0,8570,145.253996,70.535866,none,Lake,11625882,14,13.999,13.998,3.6,0,0,0,57,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105970,0,0,13229,-96.230876,61.931741,none,Lake,11624902,78,77.999,77.998,67.6,0,0,0,58.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
