AH4_LAKE_ID,GRAND_ID,Hylak_id
108676,281,8108
108674,278,8051
108673,277,8000
108672,275,7935
108669,267,7867
108668,261,7668
108665,255,7658
108667,260,7558
108675,280,7547
108671,271,7363
108664,253,643
