,S_1_hruid,S_1_PFAF,S_1_area_org,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
1019,3001274,342856,260005444.29581165,3001274,50.97805352388786,-113.29689985428134,173,260005444.29581213,173,51.125,246.625,591,486783099.29950243,591,80216523.92218135,0.30851863175187133,0.16478904883430767,0.3085186317518717,0.1647890488343076
1017,3001274,342856,260005444.29581165,3001274,50.97805352388786,-113.29689985428134,173,260005444.29581213,173,50.875,246.875,544,489385021.72833663,544,83349354.56366822,0.3205677280697261,0.1703144780960142,0.32056772806972655,0.1703144780960141
1377,3001498,342932,261597239.97063267,3001498,49.90899917451479,-112.93136825969708,238,261597239.97063294,238,49.875,247.125,353,499695571.02305037,353,203218068.52019173,0.7768356751126468,0.40668374967609533,0.7768356751126476,0.40668374967609533
1378,3001498,342932,261597239.97063267,3001498,49.90899917451479,-112.93136825969708,238,261597239.97063294,238,50.125,247.125,401,497132598.0372331,401,775264.0798736193,0.00296357897338921,0.0015594714225832264,0.002963578973389213,0.0015594714225832264
1379,3001498,342932,261597239.97063267,3001498,49.90899917451479,-112.93136825969708,238,261597239.97063294,238,50.125,246.875,400,497132598.0372331,400,5537.905795117593,2.1169588011476272e-05,1.1139695560062282e-05,2.1169588011476292e-05,1.1139695560062287e-05
1376,3001498,342932,261597239.97063267,3001498,49.90899917451479,-112.93136825969708,238,261597239.97063294,238,49.875,246.875,352,499695571.0230504,352,57598369.464772224,0.2201795763259515,0.1152669201106753,0.22017957632595173,0.11526692011067532
1434,3001903,3429492,266812536.7140915,3001903,48.79364825900639,-113.60145316297374,249,266812536.71409044,249,48.875,246.125,157,509848471.7491345,157,6417226.605846493,0.024051443327503873,0.012586536905427895,0.024051443327503842,0.01891795948131349
1431,3001903,3429492,266812536.7140915,3001903,48.79364825900639,-113.60145316297374,249,266812536.71409044,249,48.625,246.375,110,512361721.46063095,110,36002143.370011814,0.13493422690475299,0.07026704350078611,0.13493422690475282,0.11776475368877005
1433,3001903,3429492,266812536.7140915,3001903,48.79364825900639,-113.60145316297374,249,266812536.71409044,249,48.875,246.625,159,509848471.7490951,159,40835782.573640935,0.15305046410693784,0.0800939589630405,0.15305046410693765,0.1073359807507831
1435,3001903,3429492,266812536.7140915,3001903,48.79364825900639,-113.60145316297374,249,266812536.71409044,249,48.875,246.375,158,509848471.7491345,158,183557384.16459155,0.6879638656608066,0.36002340761140694,0.6879638656608057,0.36096812406474144
51,3002007,3425512,270937872.84322435,3002007,52.07510408318053,-106.8880322295783,10,270937872.8432242,10,52.125,253.375,810,476279682.9200958,810,3585490.9028216284,0.013233627566332671,0.007528120621981595,0.013233627566332657,0.007528120621981599
48,3002007,3425512,270937872.84322435,3002007,52.07510408318053,-106.8880322295783,10,270937872.8432242,10,51.875,253.125,761,478919800.79149055,761,35183725.319465555,0.1298590150954064,0.07346475393441428,0.12985901509540626,0.08311938558003008
49,3002007,3425512,270937872.84322435,3002007,52.07510408318053,-106.8880322295783,10,270937872.8432242,10,51.875,253.375,762,478919800.7914536,762,291888.2582714288,0.0010773254222761516,0.0006094721032395402,0.0010773254222761503,0.0006094721032395401
50,3002007,3425512,270937872.84322435,3002007,52.07510408318053,-106.8880322295783,10,270937872.8432242,10,52.125,253.125,809,476279682.92013264,809,231876768.36266592,0.855830031915986,0.486850009937437,0.855830031915985,0.5811729416743102
1050,3002031,342864,269086411.8619493,3002031,50.608225288574346,-114.11858044761887,180,269086411.86194414,180,50.625,245.875,492,491977276.87451535,492,152555344.2102127,0.566938119077086,0.3100861592213816,0.5669381190770857,0.31008615922138166
1051,3002031,342864,269086411.8619493,3002031,50.608225288574346,-114.11858044761887,180,269086411.86194414,180,50.625,246.125,493,491977276.8745534,493,64079596.706001215,0.2381376163240733,0.13024909831829595,0.23813761632407313,0.13024909831829598
1049,3002031,342864,269086411.8619493,3002031,50.608225288574346,-114.11858044761887,180,269086411.86194414,180,50.625,245.625,491,491977276.8745534,491,52451470.94573039,0.1949242645988413,0.10661360475619021,0.19492426459884116,0.10661360475619011
320,3002056,342624,270849505.66405326,3002056,51.15785019873311,-111.56929195275174,60,270849505.6640529,60,51.375,248.375,646,484171556.7142416,646,29418310.90698694,0.10861496990685235,0.06076009732300249,0.10861496990685257,0.06076009732300248
315,3002056,342624,270849505.66405326,3002056,51.15785019873311,-111.56929195275174,60,270849505.6640529,60,50.875,248.375,550,489385021.7283366,550,50253428.39001316,0.18554004101578386,0.10268689510058081,0.18554004101578422,0.10268689510058084
318,3002056,342624,270849505.66405326,3002056,51.15785019873311,-111.56929195275174,60,270849505.6640529,60,51.125,248.625,599,486783099.2995025,599,3323374.093144312,0.01227018703614119,0.006827217497745425,0.012270187036141215,0.006827217497745423
319,3002056,342624,270849505.66405326,3002056,51.15785019873311,-111.56929195275174,60,270849505.6640529,60,51.375,248.625,647,484171556.7142042,647,59574819.831335664,0.2199554312837811,0.12304485673556691,0.21995543128378153,0.12304485673556691
317,3002056,342624,270849505.66405326,3002056,51.15785019873311,-111.56929195275174,60,270849505.6640529,60,51.125,248.375,598,486783099.29954004,598,128279572.4425723,0.47361937075743954,0.2635251154511344,0.4736193707574405,0.2635251154511343
1526,3002615,342986,278876169.50276953,3002615,50.097930440272,-114.2206357388748,265,278876169.502769,265,50.125,245.875,396,497132598.0371947,396,167459080.69749185,0.6004782731922497,0.3368499296941353,0.6004782731922514,0.3368499296941353
1527,3002615,342986,278876169.50276953,3002615,50.097930440272,-114.2206357388748,265,278876169.502769,265,50.125,245.625,395,497132598.0372331,395,111417088.80527632,0.39952172680774733,0.22411945876245204,0.39952172680774856,0.2241194587624521
1388,3002734,342942,278097849.28221476,3002734,49.49551739828902,-113.09388533731477,241,278097849.28221965,241,49.375,246.875,256,504791911.0653109,256,129093395.82906042,0.4642013455417042,0.25573586461918973,0.46420134554170317,0.2557358646191898
1389,3002734,342942,278097849.28221476,3002734,49.49551739828902,-113.09388533731477,241,278097849.28221965,241,49.625,246.875,304,502248690.66659164,304,105874521.40339485,0.38070960159045,0.21080099036769348,0.38070960159044914,0.21080099036769342
1390,3002734,342942,278097849.28221476,3002734,49.49551739828902,-113.09388533731477,241,278097849.28221965,241,49.625,247.125,305,502248690.66659164,305,43129932.04976503,0.15508905286784813,0.08587365751520898,0.1550890528678478,0.08587365751520896
59,3003025,3425514,281120802.63855684,3003025,51.55902612060406,-106.68705555299033,12,281120802.6385565,12,51.375,253.375,666,484171556.7142042,666,71162185.95545389,0.2531373889357763,0.14697721286725515,0.2531373889357761,0.17783768799599228
60,3003025,3425514,281120802.63855684,3003025,51.55902612060406,-106.68705555299033,12,281120802.6385565,12,51.625,253.125,713,481550441.34096086,713,35198711.52846731,0.12520849114721372,0.07309454733433612,0.1252084911472136,0.07309454733433614
61,3003025,3425514,281120802.63855684,3003025,51.55902612060406,-106.68705555299033,12,281120802.6385565,12,51.625,253.375,714,481550441.34092367,714,174759905.15463555,0.6216541199170109,0.3629109022680983,0.6216541199170104,0.36291090226809825
770,3003294,3426952,282950550.44280064,3003294,51.80834955433542,-114.87316309601218,135,282950550.4428017,135,51.875,245.375,730,478919800.79149055,730,33978237.13947681,0.12008542512570759,0.0709476557104601,0.12008542512570716,0.0709476557104601
768,3003294,3426952,282950550.44280064,3003294,51.80834955433542,-114.87316309601218,135,282950550.4428017,135,51.625,245.125,681,481550441.34092367,681,14574585.47627928,0.051509302432777994,0.030265958090901008,0.05150930243277781,0.03026595809090101
772,3003294,3426952,282950550.44280064,3003294,51.80834955433542,-114.87316309601218,135,282950550.4428017,135,51.875,244.875,728,478919800.7914906,728,19860481.33137541,0.0701906439139096,0.04146932596763138,0.07019064391390935,0.048163492999314536
771,3003294,3426952,282950550.44280064,3003294,51.80834955433542,-114.87316309601218,135,282950550.4428017,135,51.875,245.125,729,478919800.7914536,729,214537246.4956712,0.7582146285276083,0.4479606943399106,0.7582146285276057,0.44796069433991076
872,3003601,342744,287541854.68159914,3003601,49.752876371098075,-110.78212341922058,151,287541854.6816003,151,49.625,249.375,314,502248690.66659164,314,69510813.98506187,0.24174155119793714,0.1383991940184177,0.24174155119793708,0.15354934091670366
874,3003601,342744,287541854.68159914,3003601,49.752876371098075,-110.78212341922058,151,287541854.6816003,151,49.875,249.375,362,499695571.0230504,362,11363901.002435049,0.039520858676447224,0.0227416484384066,0.03952085867644722,0.0227416484384066
875,3003601,342744,287541854.68159914,3003601,49.752876371098075,-110.78212341922058,151,287541854.6816003,151,49.875,249.125,361,499695571.0230118,361,110651151.15896541,0.3848175469323978,0.22143712607344632,0.38481754693239767,0.22143712607344643
873,3003601,342744,287541854.68159914,3003601,49.752876371098075,-110.78212341922058,151,287541854.6816003,151,49.625,249.125,313,502248690.66655284,313,96015988.53513801,0.3339200431932181,0.19117220277411104,0.33392004319321805,0.19743198271927512
625,3003705,3426584,288020044.42078555,3003705,52.80629739202888,-114.20906084514546,112,288020044.4207855,112,52.625,245.875,876,470971207.8361479,876,78810964.483135,0.27363013793580077,0.16733711779373472,0.2736301379358008,0.18602737049310394
623,3003705,3426584,288020044.42078555,3003705,52.80629739202888,-114.20906084514546,112,288020044.4207855,112,52.875,245.875,924,468302947.538912,924,126598911.39099985,0.43954896141201905,0.27033549982189803,0.43954896141201916,0.9910157966826705
624,3003705,3426584,288020044.42078555,3003705,52.80629739202888,-114.20906084514546,112,288020044.4207855,112,52.875,245.625,923,468302947.53894824,923,82610168.54665059,0.28682090065218,0.1764032641280354,0.2868209006521801,0.24203805123314256
1238,3003771,342912,289705345.35654116,3003771,49.74089513358894,-111.91874878290818,212,289705345.3565421,212,49.875,248.125,357,499695571.0230504,357,133801338.99373259,0.46185319373055567,0.26776570926933524,0.46185319373055667,0.2677657092693353
1236,3003771,342912,289705345.35654116,3003771,49.74089513358894,-111.91874878290818,212,289705345.3565421,212,49.875,248.375,358,499695571.02305037,358,166748.57044467382,0.0005755798887295482,0.00033370031698156055,0.0005755798887295495,0.0003364534474375647
1235,3003771,342912,289705345.35654116,3003771,49.74089513358894,-111.91874878290818,212,289705345.3565421,212,49.625,247.875,308,502248690.66655284,308,9353676.373482618,0.03228686154192631,0.01862359533694156,0.03228686154192638,0.020284926135563066
1233,3003771,342912,289705345.35654116,3003771,49.74089513358894,-111.91874878290818,212,289705345.3565421,212,49.625,248.125,309,502248690.66659164,309,146383581.4188816,0.5052843648387862,0.29145637238914296,0.5052843648387874,0.29394774935323864
723,3003895,342684,293047260.8639891,3003895,51.43355464590527,-114.32762372741689,128,293047260.8639871,128,51.625,245.625,683,481550441.34096086,683,37979016.82539907,0.12960031331951738,0.0788682006388363,0.1296003133195174,0.07886820063883626
719,3003895,342684,293047260.8639891,3003895,51.43355464590527,-114.32762372741689,128,293047260.8639871,128,51.375,245.375,634,484171556.7142416,634,18770082.587281547,0.06405138383461419,0.03876742102460939,0.0640513838346142,0.03876742102460937
721,3003895,342684,293047260.8639891,3003895,51.43355464590527,-114.32762372741689,128,293047260.8639871,128,51.375,245.875,636,484171556.71420425,636,39288646.1894712,0.13406931726178584,0.08114612608824194,0.13406931726178586,0.08114612608824205
722,3003895,342684,293047260.8639891,3003895,51.43355464590527,-114.32762372741689,128,293047260.8639871,128,51.625,245.875,684,481550441.34092367,684,21011515.820520684,0.07170009287434638,0.043633052774309775,0.0717000928743464,0.043633052774309795
720,3003895,342684,293047260.8639891,3003895,51.43355464590527,-114.32762372741689,128,293047260.8639871,128,51.375,245.625,635,484171556.7142416,635,175997999.44131452,0.600578892709736,0.363503384287377,0.6005788927097361,0.3635033842873771
1546,3003953,3429914,292194345.78947425,3003953,49.7343090651079,-113.85740303503414,270,292194345.78947866,270,49.625,246.375,302,502248690.66659164,302,13776444.387592757,0.04714822372886868,0.027429527729198187,0.04714822372886866,0.02742952772919819
1547,3003953,3429914,292194345.78947425,3003953,49.7343090651079,-113.85740303503414,270,292194345.78947866,270,49.625,246.125,301,502248690.66659164,301,151936384.1282552,0.5199839980398625,0.3025122552865256,0.5199839980398624,0.30251225528652553
1548,3003953,3429914,292194345.78947425,3003953,49.7343090651079,-113.85740303503414,270,292194345.78947866,270,49.875,246.125,349,499695571.02305037,349,126481517.2736308,0.4328677782312691,0.2531171469354415,0.432867778231269,0.25311714693544146
1482,3004117,342964,297191162.6556958,3004117,49.258680386077486,-113.95652060527931,257,297191162.6556915,257,49.375,245.875,252,504791911.0652719,252,47204194.84014023,0.15883444991541784,0.09351218552714985,0.15883444991541798,0.09351218552714985
1483,3004117,342964,297191162.6556958,3004117,49.258680386077486,-113.95652060527931,257,297191162.6556915,257,49.125,246.125,205,507325186.5628557,205,29037078.773865253,0.09770505459984331,0.057235634151326854,0.0977050545998434,0.05723563415132686
1480,3004117,342964,297191162.6556958,3004117,49.258680386077486,-113.95652060527931,257,297191162.6556915,257,49.375,246.125,253,504791911.0653109,253,126266195.36708847,0.4248652424209975,0.250135140043383,0.4248652424209979,0.25013514004338294
1485,3004117,342964,297191162.6556958,3004117,49.258680386077486,-113.95652060527931,257,297191162.6556915,257,49.125,245.875,204,507325186.5628166,204,79064036.25118235,0.26603764238703614,0.15584488676158542,0.26603764238703637,0.24597901511308126
1481,3004117,342964,297191162.6556958,3004117,49.258680386077486,-113.95652060527931,257,297191162.6556915,257,49.375,246.375,254,504791911.0653109,254,15619657.423414957,0.05255761067670437,0.03094276489187652,0.05255761067670442,0.030942764891876508
597,3004193,3426572,297255616.590166,3004193,52.38054060755662,-113.41290263817541,107,297255616.5901615,107,52.375,246.625,831,473630135.8225162,831,234136153.5949518,0.7876593091183367,0.4943438685301263,0.7876593091183361,0.4943438685301267
596,3004193,3426572,297255616.590166,3004193,52.38054060755662,-113.41290263817541,107,297255616.5901615,107,52.375,246.875,832,473630135.82255274,832,2775174.021922975,0.009335985148934026,0.005859369605152625,0.00933598514893402,0.0058593696051526265
598,3004193,3426572,297255616.590166,3004193,52.38054060755662,-113.41290263817541,107,297255616.5901615,107,52.375,246.375,830,473630135.82255274,830,60344288.973286904,0.20300470573272986,0.12740804355383145,0.20300470573272972,0.15595178693485282
617,3004270,3426582,297240550.70149875,3004270,52.55167184680715,-114.00096382132975,110,297240550.7015003,110,52.625,246.125,877,470971207.83618426,877,79924246.60910161,0.2688874260947135,0.16970091861093403,0.2688874260947128,1.0
618,3004270,3426582,297240550.70149875,3004270,52.55167184680715,-114.00096382132975,110,297240550.7015003,110,52.625,245.875,876,470971207.8361479,876,140852119.16860834,0.4738657590163636,0.2990673672298268,0.4738657590163623,0.3324708627683988
616,3004270,3426582,297240550.70149875,3004270,52.55167184680715,-114.00096382132975,110,297240550.7015003,110,52.375,245.875,828,473630135.82251614,828,19226226.21507955,0.06468237987618056,0.04059333382934107,0.06468237987618039,0.04059333382934108
615,3004270,3426582,297240550.70149875,3004270,52.55167184680715,-114.00096382132975,110,297240550.7015003,110,52.375,246.125,829,473630135.82255274,829,57237958.708711624,0.19256443501274512,0.12084948650766604,0.19256443501274462,0.15834225487864959
223,3004662,342598,305686128.05575,3004662,51.08658835958398,-109.49387314588452,42,305686128.05575067,42,50.875,250.375,558,489385021.72833663,558,797266.9662704389,0.0026081228197736023,0.0016291200810657647,0.0026081228197735954,0.003573269822582671
222,3004662,342598,305686128.05575,3004662,51.08658835958398,-109.49387314588452,42,305686128.05575067,42,50.875,250.625,559,489385021.72833663,559,7810353.592249983,0.025550238873860643,0.01595952725456645,0.025550238873860574,0.06428700312398061
225,3004662,342598,305686128.05575,3004662,51.08658835958398,-109.49387314588452,42,305686128.05575067,42,51.125,250.375,606,486783099.29954004,606,138992259.71859562,0.45468945745960176,0.2855322214731767,0.45468945745960054,0.6499777966214856
224,3004662,342598,305686128.05575,3004662,51.08658835958398,-109.49387314588452,42,305686128.05575067,42,51.125,250.625,607,486783099.29954004,607,158086247.77863538,0.5171521808467665,0.324757059162725,0.5171521808467652,0.43360162094646054
1220,3004739,3428992,303637559.0604089,3004739,51.58154000204957,-116.16232841670666,209,303637559.0604081,209,51.625,243.625,675,481550441.34096086,675,15159643.162874188,0.04992677193751978,0.03148090389172841,0.04992677193751972,0.044625707882585144
1217,3004739,3428992,303637559.0604089,3004739,51.58154000204957,-116.16232841670666,209,303637559.0604081,209,51.375,243.875,628,484171556.7142042,628,33601424.6753824,0.11066293899661293,0.06939983195918421,0.11066293899661281,0.07543645598953129
1219,3004739,3428992,303637559.0604089,3004739,51.58154000204957,-116.16232841670666,209,303637559.0604081,209,51.625,243.875,676,481550441.34092367,676,254876491.22215188,0.8394102890658685,0.5292830601762584,0.8394102890658676,0.6745774985880536
1151,3004747,3428922,305967892.7345439,3004747,51.245449593862894,-115.08142737487952,198,305967892.7345438,198,51.375,245.125,633,484171556.71420425,633,51352680.58513345,0.16783682799582758,0.10606298505768234,0.16783682799582744,0.10606298505768239
1148,3004747,3428922,305967892.7345439,3004747,51.245449593862894,-115.08142737487952,198,305967892.7345438,198,51.125,244.625,583,486783099.2995025,583,15312359.699755881,0.050045642249923285,0.03145622705839806,0.05004564224992324,0.03145622705839803
1149,3004747,3428922,305967892.7345439,3004747,51.245449593862894,-115.08142737487952,198,305967892.7345438,198,51.375,244.875,632,484171556.7142416,632,95406471.81878431,0.31181857340030933,0.1970509636424043,0.31181857340030905,0.1970509636424042
1146,3004747,3428922,305967892.7345439,3004747,51.245449593862894,-115.08142737487952,198,305967892.7345438,198,51.125,245.125,585,486783099.2995025,585,7678172.648741486,0.025094700558672765,0.01577329340273037,0.025094700558672745,0.01577329340273037
1147,3004747,3428922,305967892.7345439,3004747,51.245449593862894,-115.08142737487952,198,305967892.7345438,198,51.125,244.875,584,486783099.29954004,584,136218207.9821289,0.4452042557952678,0.2798334785618914,0.4452042557952674,0.2798334785618915
188,3004802,342582,303945656.7513933,3004802,50.67250088339936,-108.58831735768285,33,303945656.75139236,33,50.625,251.625,515,491977276.8745914,515,31206247.038579054,0.1026704818621696,0.0634302609194159,0.10267048186216975,0.07618351312927002
189,3004802,342582,303945656.7513933,3004802,50.67250088339936,-108.58831735768285,33,303945656.75139236,33,50.875,251.625,563,489385021.72837436,563,70875.2169510641,0.00023318384512740505,0.0001448250637110882,0.00023318384512740537,0.00016224499358013554
187,3004802,342582,303945656.7513933,3004802,50.67250088339936,-108.58831735768285,33,303945656.75139236,33,50.625,251.375,514,491977276.87451535,514,251453685.02267498,0.8272981680680754,0.5111083313037061,0.8272981680680767,0.9057011459946777
190,3004802,342582,303945656.7513933,3004802,50.67250088339936,-108.58831735768285,33,303945656.75139236,33,50.875,251.375,562,489385021.72829884,562,21214849.47318683,0.06979816622462609,0.04335001794346922,0.06979816622462619,0.04510892061007307
1601,3004929,3429972,305194275.8429868,3004929,49.80074453408547,-114.50215581820672,280,305194275.8429841,280,49.625,245.625,299,502248690.66659164,299,23183923.233018816,0.0759644759685678,0.04616024623627944,0.07596447596856777,0.046160246236279456
1602,3004929,3429972,305194275.8429868,3004929,49.80074453408547,-114.50215581820672,280,305194275.8429841,280,49.875,245.375,346,499695571.02305037,346,136484829.8549652,0.4472063883831941,0.2731359607121059,0.4472063883831939,0.4167343643007264
1600,3004929,3429972,305194275.8429868,3004929,49.80074453408547,-114.50215581820672,280,305194275.8429841,280,49.625,245.375,298,502248690.66659164,298,15031545.799043423,0.04925238442799901,0.029928491757924426,0.04925238442799899,0.04599992752527454
1603,3004929,3429972,305194275.8429868,3004929,49.80074453408547,-114.50215581820672,280,305194275.8429841,280,49.875,245.625,347,499695571.0230504,347,130493976.95595679,0.4275767512202396,0.2611469553127923,0.4275767512202394,0.2611469553127924
