,Unnamed: 0,S_1_hruid,S_1_PFAF,S_1_area_org,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
0,245,3000014,3426122,248639230.66779023,3000014,51.04131279780751,-110.42833531284452,48,248639230.66779003,48,50.875,249.625,555,489385021.7283366,555,53180783.02146162,0.2138873374029906,0.108668595605247,0.2138873374029906,0.1661348092089743,11.0,26.0,1
1,247,3000014,3426122,248639230.66779023,3000014,51.04131279780751,-110.42833531284452,48,248639230.66779003,48,51.125,249.625,603,486783099.29954,603,161797972.25094858,0.6507338838541086,0.3323820660244139,0.6507338838541087,0.3749580609867721,12.0,26.0,1
2,244,3000014,3426122,248639230.66779023,3000014,51.04131279780751,-110.42833531284452,48,248639230.66779003,48,50.875,249.375,554,489385021.72833663,554,4274559.738424567,0.0171918153339842,0.0087345536717252,0.0171918153339842,0.0087493668050233,11.0,25.0,1
3,246,3000014,3426122,248639230.66779023,3000014,51.04131279780751,-110.42833531284452,48,248639230.66779003,48,51.125,249.375,602,486783099.29954,602,29385915.656955235,0.1181869634089164,0.0603675758243051,0.1181869634089164,0.0707320423702915,12.0,25.0,1
4,100,3000053,3425572,246013685.15562972,3000053,50.91768350844765,-106.78983765432376,20,246013685.1556279,20,51.125,253.125,617,486783099.29954,617,9851281.628921952,0.0400436326242991,0.0202375177837881,0.0400436326242991,0.0202375177837881,12.0,40.0,1
5,98,3000053,3425572,246013685.15562972,3000053,50.91768350844765,-106.78983765432376,20,246013685.1556279,20,50.875,253.375,570,489385021.7282988,570,59951817.11429869,0.243693016818854,0.1225043972587769,0.2436930168188539,0.1922392677186062,11.0,41.0,1
6,99,3000053,3425572,246013685.15562972,3000053,50.91768350844765,-106.78983765432376,20,246013685.1556279,20,50.875,253.125,569,489385021.72833663,569,173293215.11734736,0.7044047773509929,0.3541040436941375,0.7044047773509928,0.4069033471405436,11.0,40.0,1
7,101,3000053,3425572,246013685.15562972,3000053,50.91768350844765,-106.78983765432376,20,246013685.1556279,20,51.125,253.375,618,486783099.2995024,618,2917371.2950599813,0.0118585732058542,0.0059931647159857,0.0118585732058542,0.0066744508668395,12.0,41.0,1
8,663,3000185,342662,251226212.50170597,3000185,52.12515774758189,-114.38324615224964,120,251226212.50170943,120,52.125,245.375,778,476279682.92013264,778,36679522.24530383,0.1460019712117191,0.0770125696322314,0.1460019712117188,0.0771967575555261,16.0,9.0,1
9,664,3000185,342662,251226212.50170597,3000185,52.12515774758189,-114.38324615224964,120,251226212.50170943,120,52.125,245.625,779,476279682.92013264,779,202845275.0873088,0.8074208223233414,0.4258952929582005,0.8074208223233397,0.4258952929582003,16.0,10.0,1
10,665,3000185,342662,251226212.50170597,3000185,52.12515774758189,-114.38324615224964,120,251226212.50170943,120,52.125,245.875,780,476279682.9200959,780,11701415.169097433,0.0465772064649416,0.0245683693609507,0.0465772064649415,0.0245683693609507,16.0,11.0,1
11,1539,3000676,3429912,254189657.6151121,3000676,49.52055598637653,-113.67756857816627,268,254189657.6151152,268,49.375,246.375,254,504791911.0653109,254,46300665.74558479,0.1821500771510207,0.0917222814602398,0.1821500771510207,0.0917222814602397,5.0,13.0,1
12,1541,3000676,3429912,254189657.6151121,3000676,49.52055598637653,-113.67756857816627,268,254189657.6151152,268,49.625,246.125,301,502248690.6665917,301,18047093.319807157,0.0709985350668098,0.0359325841066002,0.0709985350668098,0.0359325841066002,6.0,12.0,1
13,1540,3000676,3429912,254189657.6151121,3000676,49.52055598637653,-113.67756857816627,268,254189657.6151152,268,49.625,246.375,302,502248690.6665917,302,154228748.2986558,0.6067467486508967,0.3070764566732094,0.6067467486508966,0.3070764566732095,6.0,13.0,1
14,1538,3000676,3429912,254189657.6151121,3000676,49.52055598637653,-113.67756857816627,268,254189657.6151152,268,49.375,246.125,253,504791911.0653109,253,35613150.25106751,0.1401046391312728,0.070550160314395,0.1401046391312728,0.070550160314395,5.0,12.0,1
15,650,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.375,245.625,827,473630135.8225528,827,13518586.545240292,0.0529837018154463,0.0285424966081657,0.0529837018154464,0.0285424966081657,17.0,10.0,1
16,649,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.375,245.875,828,473630135.82251614,828,197491393.49317077,0.7740324825337096,0.4169738759342308,0.774032482533711,0.4169738759342308,17.0,11.0,1
17,648,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.375,246.125,829,473630135.8225528,829,38024378.49524918,0.1490298061241685,0.0802828528408824,0.1490298061241688,0.1051900865636672,17.0,12.0,1
18,645,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.125,246.125,781,476279682.92013264,781,3298704.366415095,0.0129286865858757,0.0069259816967003,0.0129286865858757,0.0069259816967003,16.0,12.0,1
19,647,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.125,245.875,780,476279682.9200959,780,2813068.495734033,0.0110253229407978,0.0059063373824534,0.0110253229407978,0.0059063373824534,16.0,11.0,1
20,882,3000715,342746,253307102.33351436,3000715,49.784823146084655,-111.16595550893086,153,253307102.3335147,153,49.875,248.625,359,499695571.0230118,359,27355547.54668654,0.1079936065537913,0.0547444266729888,0.1079936065537913,0.0554463774710189,7.0,22.0,1
